barcode,cluster,true_cell_type
CELL_00817,3,B_cell
CELL_00818,3,B_cell
CELL_00819,3,B_cell
CELL_00820,3,B_cell
CELL_00821,3,B_cell
CELL_00822,3,B_cell
CELL_00823,3,B_cell
CELL_00824,3,B_cell
CELL_00825,3,B_cell
CELL_00826,3,B_cell
CELL_00827,3,B_cell
CELL_00828,3,B_cell
CELL_00829,3,B_cell
CELL_00830,3,B_cell
CELL_00831,3,B_cell
CELL_00832,3,B_cell
CELL_00833,3,B_cell
CELL_00834,3,B_cell
CELL_00835,3,B_cell
CELL_00836,3,B_cell
CELL_00837,3,B_cell
CELL_00838,3,B_cell
CELL_00839,3,B_cell
CELL_00840,3,B_cell
CELL_00841,3,B_cell
CELL_00842,3,B_cell
CELL_00843,3,B_cell
CELL_00844,3,B_cell
CELL_00845,3,B_cell
CELL_00846,3,B_cell
CELL_00847,3,B_cell
CELL_00848,3,B_cell
CELL_00849,3,B_cell
CELL_00850,1,Monocyte
CELL_00851,1,Monocyte
CELL_00852,1,Monocyte
CELL_00853,1,Monocyte
CELL_00854,1,Monocyte
CELL_00855,1,Monocyte
CELL_00856,1,Monocyte
CELL_00857,1,Monocyte
CELL_00858,1,Monocyte
CELL_00859,1,Monocyte
CELL_00860,1,Monocyte
CELL_00861,1,Monocyte
CELL_00862,1,Monocyte
CELL_00863,1,Monocyte
CELL_00864,1,Monocyte
CELL_00865,1,Monocyte
CELL_00866,1,Monocyte
CELL_00867,1,Monocyte
CELL_00868,1,Monocyte
CELL_00869,1,Monocyte
CELL_00870,1,Monocyte
CELL_00871,1,Monocyte
CELL_00872,1,Monocyte
CELL_00873,1,Monocyte
CELL_00874,1,Monocyte
CELL_00875,1,Monocyte
CELL_00876,1,Monocyte
CELL_00877,1,Monocyte
CELL_00878,1,Monocyte
CELL_00879,1,Monocyte
CELL_00880,1,Monocyte
CELL_00881,1,Monocyte
CELL_00882,1,Monocyte
CELL_00883,1,Monocyte
CELL_00884,1,Monocyte
CELL_00885,1,Monocyte
CELL_00886,1,Monocyte
CELL_00887,1,Monocyte
CELL_00888,1,Monocyte
CELL_00889,1,Monocyte
CELL_00890,1,Monocyte
CELL_00891,1,Monocyte
CELL_00892,1,Monocyte
CELL_00893,1,Monocyte
CELL_00894,1,Monocyte
CELL_00895,1,Monocyte
CELL_00896,1,Monocyte
CELL_00897,1,Monocyte
CELL_00898,1,Monocyte
CELL_00899,1,Monocyte
CELL_00900,1,Monocyte
CELL_00901,1,Monocyte
CELL_00902,1,Monocyte
CELL_00903,1,Monocyte
CELL_00904,1,Monocyte
CELL_00905,1,Monocyte
CELL_00906,1,Monocyte
CELL_00907,1,Monocyte
CELL_00908,1,Monocyte
CELL_00909,1,Monocyte
CELL_00910,1,Monocyte
CELL_00911,1,Monocyte
CELL_00912,1,Monocyte
CELL_00913,1,Monocyte
CELL_00914,1,Monocyte
CELL_00915,1,Monocyte
CELL_00916,1,Monocyte
CELL_00917,1,Monocyte
CELL_00918,1,Monocyte
CELL_00919,1,Monocyte
CELL_00920,1,Monocyte
CELL_00921,1,Monocyte
CELL_00922,1,Monocyte
CELL_00923,1,Monocyte
CELL_00924,1,Monocyte
CELL_00925,1,Monocyte
CELL_00926,1,Monocyte
CELL_00927,1,Monocyte
CELL_00928,1,Monocyte
CELL_00929,1,Monocyte
CELL_00930,1,Monocyte
CELL_00931,1,Monocyte
CELL_00932,1,Monocyte
CELL_00933,1,Monocyte
CELL_00934,1,Monocyte
CELL_00935,1,Monocyte
CELL_00936,1,Monocyte
CELL_00937,1,Monocyte
CELL_00938,1,Monocyte
CELL_00939,1,Monocyte
CELL_00940,1,Monocyte
CELL_00941,1,Monocyte
CELL_00942,1,Monocyte
CELL_00943,1,Monocyte
CELL_00944,1,Monocyte
CELL_00945,1,Monocyte
CELL_00946,1,Monocyte
CELL_00947,1,Monocyte
CELL_00948,1,Monocyte
CELL_00949,1,Monocyte
CELL_00950,1,Monocyte
CELL_00951,1,Monocyte
CELL_00952,1,Monocyte
CELL_00953,1,Monocyte
CELL_00954,1,Monocyte
CELL_00955,1,Monocyte
CELL_00956,1,Monocyte
CELL_00957,1,Monocyte
CELL_00958,1,Monocyte
CELL_00959,1,Monocyte
CELL_00960,1,Monocyte
CELL_00961,1,Monocyte
CELL_00962,1,Monocyte
CELL_00963,1,Monocyte
CELL_00964,1,Monocyte
CELL_00965,1,Monocyte
CELL_00966,1,Monocyte
CELL_00967,1,Monocyte
CELL_00968,1,Monocyte
CELL_00969,1,Monocyte
CELL_00970,1,Monocyte
CELL_00971,1,Monocyte
CELL_00972,1,Monocyte
CELL_00973,1,Monocyte
CELL_00974,1,Monocyte
CELL_00975,1,Monocyte
CELL_00976,1,Monocyte
CELL_00977,1,Monocyte
CELL_00978,1,Monocyte
CELL_00979,1,Monocyte
CELL_00980,1,Monocyte
CELL_00981,1,Monocyte
CELL_00982,1,Monocyte
CELL_00983,1,Monocyte
CELL_00984,1,Monocyte
CELL_00985,1,Monocyte
CELL_00986,1,Monocyte
CELL_00987,1,Monocyte
CELL_00988,1,Monocyte
CELL_00989,1,Monocyte
CELL_00990,1,Monocyte
CELL_00991,1,Monocyte
CELL_00992,1,Monocyte
CELL_00993,1,Monocyte
CELL_00994,1,Monocyte
CELL_00995,1,Monocyte
CELL_00996,1,Monocyte
CELL_00997,1,Monocyte
CELL_00998,1,Monocyte
CELL_00999,1,Monocyte
CELL_01000,1,Monocyte
CELL_01001,1,Monocyte
CELL_01002,1,Monocyte
CELL_01003,1,Monocyte
CELL_01004,1,Monocyte
CELL_01005,1,Monocyte
CELL_01006,1,Monocyte
CELL_01007,1,Monocyte
CELL_01008,1,Monocyte
CELL_01009,1,Monocyte
CELL_01010,1,Monocyte
CELL_01011,1,Monocyte
CELL_01012,1,Monocyte
CELL_01013,1,Monocyte
CELL_01014,1,Monocyte
CELL_01015,1,Monocyte
CELL_01016,1,Monocyte
CELL_01017,1,Monocyte
CELL_01018,1,Monocyte
CELL_01019,1,Monocyte
CELL_01020,1,Monocyte
CELL_01021,1,Monocyte
CELL_01022,1,Monocyte
CELL_01023,1,Monocyte
CELL_01024,1,Monocyte
CELL_01025,1,Monocyte
CELL_01026,1,Monocyte
CELL_01027,1,Monocyte
CELL_01028,1,Monocyte
CELL_01029,1,Monocyte
CELL_01030,1,Monocyte
CELL_01031,1,Monocyte
CELL_01032,1,Monocyte
CELL_01033,1,Monocyte
CELL_01034,1,Monocyte
CELL_01035,1,Monocyte
CELL_01036,1,Monocyte
CELL_01037,1,Monocyte
CELL_01038,1,Monocyte
CELL_01039,1,Monocyte
CELL_01040,1,Monocyte
CELL_01041,1,Monocyte
CELL_01042,1,Monocyte
CELL_01043,1,Monocyte
CELL_01044,1,Monocyte
CELL_01045,1,Monocyte
CELL_01046,1,Monocyte
CELL_01047,1,Monocyte
CELL_01048,1,Monocyte
CELL_01049,1,Monocyte
CELL_01050,1,Monocyte
CELL_01051,1,Monocyte
CELL_01052,1,Monocyte
CELL_01053,1,Monocyte
CELL_01054,1,Monocyte
CELL_01055,1,Monocyte
CELL_01056,1,Monocyte
CELL_01057,1,Monocyte
CELL_01058,1,Monocyte
CELL_01059,1,Monocyte
CELL_01060,1,Monocyte
CELL_01061,1,Monocyte
CELL_01062,1,Monocyte
CELL_01063,1,Monocyte
CELL_01064,1,Monocyte
CELL_01065,1,Monocyte
CELL_01066,1,Monocyte
CELL_01067,1,Monocyte
CELL_01068,1,Monocyte
CELL_01069,1,Monocyte
CELL_01070,1,Monocyte
CELL_01071,1,Monocyte
CELL_01072,1,Monocyte
CELL_01073,1,Monocyte
CELL_01074,1,Monocyte
CELL_01075,1,Monocyte
CELL_01076,1,Monocyte
CELL_01077,1,Monocyte
CELL_01078,1,Monocyte
CELL_01079,1,Monocyte
CELL_01080,1,Monocyte
CELL_01081,1,Monocyte
CELL_01082,1,Monocyte
CELL_01083,1,Monocyte
CELL_01084,1,Monocyte
CELL_01085,1,Monocyte
CELL_01086,1,Monocyte
CELL_01087,1,Monocyte
CELL_01088,1,Monocyte
CELL_01089,1,Monocyte
CELL_01090,1,Monocyte
CELL_01091,1,Monocyte
CELL_01092,1,Monocyte
CELL_01093,1,Monocyte
CELL_01094,1,Monocyte
CELL_01095,1,Monocyte
CELL_01096,1,Monocyte
CELL_01097,1,Monocyte
CELL_01098,1,Monocyte
CELL_01099,1,Monocyte
CELL_01100,1,Monocyte
CELL_01101,1,Monocyte
CELL_01102,1,Monocyte
CELL_01103,1,Monocyte
CELL_01104,1,Monocyte
CELL_01105,1,Monocyte
CELL_01106,1,Monocyte
CELL_01107,1,Monocyte
CELL_01108,1,Monocyte
CELL_01109,1,Monocyte
CELL_01110,1,Monocyte
CELL_01111,1,Monocyte
CELL_01112,1,Monocyte
CELL_01113,1,Monocyte
CELL_01114,1,Monocyte
CELL_01115,1,Monocyte
CELL_01116,1,Monocyte
CELL_01117,1,Monocyte
CELL_01118,1,Monocyte
CELL_01119,1,Monocyte
CELL_01120,1,Monocyte
CELL_01121,1,Monocyte
CELL_01122,1,Monocyte
CELL_01123,1,Monocyte
CELL_01124,1,Monocyte
CELL_01125,1,Monocyte
CELL_01126,1,Monocyte
CELL_01127,1,Monocyte
CELL_01128,1,Monocyte
CELL_01129,1,Monocyte
CELL_01130,1,Monocyte
CELL_01131,1,Monocyte
CELL_01132,1,Monocyte
CELL_01133,1,Monocyte
CELL_01134,1,Monocyte
CELL_01135,1,Monocyte
CELL_01136,1,Monocyte
CELL_01137,1,Monocyte
CELL_01138,1,Monocyte
CELL_01139,1,Monocyte
CELL_01140,1,Monocyte
CELL_01141,1,Monocyte
CELL_01142,1,Monocyte
CELL_01143,1,Monocyte
CELL_01144,1,Monocyte
CELL_01145,1,Monocyte
CELL_01146,1,Monocyte
CELL_01147,1,Monocyte
CELL_01148,1,Monocyte
CELL_01149,1,Monocyte
CELL_01150,4,NK_cell
CELL_01151,4,NK_cell
CELL_01152,4,NK_cell
CELL_01153,4,NK_cell
CELL_01154,4,NK_cell
CELL_01155,4,NK_cell
CELL_01156,4,NK_cell
CELL_01157,4,NK_cell
CELL_01158,4,NK_cell
CELL_01159,4,NK_cell
CELL_01160,4,NK_cell
CELL_01161,4,NK_cell
CELL_01162,4,NK_cell
CELL_01163,4,NK_cell
CELL_01164,4,NK_cell
CELL_01165,4,NK_cell
CELL_01166,4,NK_cell
CELL_01167,4,NK_cell
CELL_01168,4,NK_cell
CELL_01169,4,NK_cell
CELL_01170,4,NK_cell
CELL_01171,4,NK_cell
CELL_01172,4,NK_cell
CELL_01173,4,NK_cell
CELL_01174,4,NK_cell
CELL_01175,4,NK_cell
CELL_01176,4,NK_cell
CELL_01177,4,NK_cell
CELL_01178,4,NK_cell
CELL_01179,4,NK_cell
CELL_01180,4,NK_cell
CELL_01181,4,NK_cell
CELL_01182,4,NK_cell
CELL_01183,4,NK_cell
CELL_01184,4,NK_cell
CELL_01185,4,NK_cell
CELL_01186,4,NK_cell
CELL_01187,4,NK_cell
CELL_01188,4,NK_cell
CELL_01189,4,NK_cell
CELL_01190,4,NK_cell
CELL_01191,4,NK_cell
CELL_01192,4,NK_cell
CELL_01193,4,NK_cell
CELL_01194,4,NK_cell
CELL_01195,4,NK_cell
CELL_01196,4,NK_cell
CELL_01197,4,NK_cell
CELL_01198,4,NK_cell
CELL_01199,4,NK_cell
CELL_01200,4,NK_cell
CELL_01201,4,NK_cell
CELL_01202,4,NK_cell
CELL_01203,4,NK_cell
CELL_01204,4,NK_cell
CELL_01205,4,NK_cell
CELL_01206,4,NK_cell
CELL_01207,4,NK_cell
CELL_01208,4,NK_cell
CELL_01209,4,NK_cell
CELL_01210,4,NK_cell
CELL_01211,4,NK_cell
CELL_01212,4,NK_cell
CELL_01213,4,NK_cell
CELL_01214,4,NK_cell
CELL_01215,4,NK_cell
CELL_01216,4,NK_cell
CELL_01217,4,NK_cell
CELL_01218,4,NK_cell
CELL_01219,4,NK_cell
CELL_01220,4,NK_cell
CELL_01221,4,NK_cell
CELL_01222,4,NK_cell
CELL_01223,4,NK_cell
CELL_01224,4,NK_cell
CELL_01225,4,NK_cell
CELL_01226,4,NK_cell
CELL_01227,4,NK_cell
CELL_01228,4,NK_cell
CELL_01229,4,NK_cell
CELL_01230,4,NK_cell
CELL_01231,4,NK_cell
CELL_01232,4,NK_cell
CELL_01233,4,NK_cell
CELL_01234,4,NK_cell
CELL_01235,4,NK_cell
CELL_01236,4,NK_cell
CELL_01237,4,NK_cell
CELL_01238,4,NK_cell
CELL_01239,4,NK_cell
CELL_01240,4,NK_cell
CELL_01241,4,NK_cell
CELL_01242,4,NK_cell
CELL_01243,4,NK_cell
CELL_01244,4,NK_cell
CELL_01245,4,NK_cell
CELL_01246,4,NK_cell
CELL_01247,4,NK_cell
CELL_01248,4,NK_cell
CELL_01249,4,NK_cell
CELL_01250,4,NK_cell
CELL_01251,4,NK_cell
CELL_01252,4,NK_cell
CELL_01253,4,NK_cell
CELL_01254,4,NK_cell
CELL_01255,4,NK_cell
CELL_01256,4,NK_cell
CELL_01257,4,NK_cell
CELL_01258,4,NK_cell
CELL_01259,4,NK_cell
CELL_01260,4,NK_cell
CELL_01261,4,NK_cell
CELL_01262,4,NK_cell
CELL_01263,4,NK_cell
CELL_01264,4,NK_cell
CELL_01265,4,NK_cell
CELL_01266,4,NK_cell
CELL_01267,4,NK_cell
CELL_01268,4,NK_cell
CELL_01269,4,NK_cell
CELL_01270,4,NK_cell
CELL_01271,4,NK_cell
CELL_01272,4,NK_cell
CELL_01273,4,NK_cell
CELL_01274,4,NK_cell
CELL_01275,4,NK_cell
CELL_01276,4,NK_cell
CELL_01277,4,NK_cell
CELL_01278,4,NK_cell
CELL_01279,4,NK_cell
CELL_01280,4,NK_cell
CELL_01281,4,NK_cell
CELL_01282,4,NK_cell
CELL_01283,4,NK_cell
CELL_01284,4,NK_cell
CELL_01285,4,NK_cell
CELL_01286,4,NK_cell
CELL_01287,4,NK_cell
CELL_01288,4,NK_cell
CELL_01289,4,NK_cell
CELL_01290,4,NK_cell
CELL_01291,4,NK_cell
CELL_01292,4,NK_cell
CELL_01293,4,NK_cell
CELL_01294,4,NK_cell
CELL_01295,4,NK_cell
CELL_01296,4,NK_cell
CELL_01297,4,NK_cell
CELL_01298,4,NK_cell
CELL_01299,4,NK_cell
